X,Y
10068.01881386296,15884.562246624599
10112.0,15879.0
10263.748354780178,15848.596655905496
10341.0,15830.0
10382.035358080904,15818.557332808487
10483.0,15760.0
10485.734599404592,15758.08492298888
10555.0,15709.0
10575.458599481892,15693.100001219242
10660.0,15612.0
10686.889296453008,15578.440243017136
10764.555995196908,15462.246257311457
10781.0,15434.0
10819.70219062997,15352.926234163246
10841.0,15291.0
10852.004172036724,15254.857694672954
10883.0,15138.0
10897.384570369088,15068.687904127642
10906.0,15015.0
10932.0,14814.0
10932.550756392933,14809.320031532778
10949.69334770856,14637.929535571271
10956.38804022057,14547.613086295052
10957.0,14539.0
10965.86224829577,14406.76899000114
10974.0,14282.0
10983.841285622002,14135.73432627218
10995.0,13977.0
10996.88177579618,13951.541923278139
11009.0,13806.0
11009.300993002975,13802.78986488694
11020.0,13693.0
11026.122904037014,13631.520910171374
11044.0,13450.0
11053.026416326076,13349.592734312455
11055.0,13326.0
11064.0,13197.0
11065.930470632267,13144.898115414504
11067.0,13055.0
11067.0,13044.0
11062.93747826028,12962.74707704917
11058.0,12913.0
11053.942425969815,12880.540766560885
11038.0,12812.0
10992.469713089054,12702.339685169518
10957.0,12627.0
10913.738753593449,12558.589476831628
10883.0,12532.0
10731.018736145144,12404.780473729079
10725.0,12400.0
10670.087375680261,12361.19378199349
10625.0,12337.0
10537.0,12289.0
10524.239725246687,12282.204622172996
10403.774415677311,12220.91235655474
10394.0,12216.0
10213.0,12125.0
10125.937729693964,12080.933483352268
10076.85701798297,12055.342150124541
10013.0,12022.0
9990.0,12010.0
9925.109677158549,11975.441853385222
9774.03187638757,11893.623087144302
9747.0,11879.0
9648.292098057922,11825.85790594855
9578.572351758834,11788.790306467628
9525.0,11760.0
9399.17702055433,11691.965547528578
9377.0,11680.0
9327.0,11653.0
9273.632302058295,11623.603510566123
9172.073874493875,11566.089414721308
9137.0,11546.0
9018.482865023952,11477.524956148998
8983.0,11457.0
8888.776409203438,11402.650458118562
8826.0,11367.0
8728.388774175413,11312.660911230412
8692.0,11292.0
8666.0,11277.0
8624.650865839241,11253.462405061835
8525.779561074474,11199.179560391416
8421.0,11141.0
8319.423668990543,11083.528414202729
8215.0,11024.0
8113.48669351479,10965.724602009472
8076.0,10944.0
7934.715766536356,10861.62208873525
7895.0,10838.0
7771.0,10762.0
7767.604368315437,10759.856820281977
7603.801453045348,10652.081451686183
7579.0,10635.0
7428.31279692846,10527.15074217107
7391.0,10499.0
7273.0,10405.0
7244.092419429425,10380.944362577928
7182.0,10329.0
6960.367831396665,10149.417700218117
6918.0,10115.0
6829.836176967302,10040.670233672377
6724.0,9947.0
6502.0,9754.0
6467.2856116776065,9723.822151465673
6384.0,9651.0
6308.267957343642,9584.875270962062
6212.0,9501.0
6193.2756423272895,9484.719627238897
6060.864789450565,9369.919785933569
6039.0,9351.0
5972.0,9293.0
5953.752597975355,9277.136730563656
5838.0,9176.0
5747.908855162214,9097.589305477866
5677.0,9036.0
5480.613779653425,8865.423020336133
5380.0,8778.0
5352.237004794292,8753.861124105333
5271.0,8683.0
5258.692957873796,8672.255844871479
5155.032776852883,8581.786544894481
5053.0,8493.0
4888.0,8350.0
4884.567805055563,8347.021929677921
4696.0,8183.0
4677.545108546012,8166.97014579615
4514.387558522149,8025.449479485225
4462.0,7980.0
4394.568185967828,7921.430806625498
4324.0,7860.0
4030.932787249606,7604.562517973229
3974.0,7555.0
3884.0410660735365,7477.095933750315
3877.0,7471.0
3696.0,7314.0
3663.812057200628,7286.043168934916
3544.0,7182.0
3471.0012251512785,7118.815619564056
3349.0,7013.0
3251.263549160469,6927.337718654502
3228.0,6907.0
3099.0,6795.0
3095.9738796570737,6792.374691518201
2997.0,6706.0
2983.194230155218,6693.736026946035
2906.0,6624.0
2883.5687860894163,6603.509311756869
2823.0,6547.0
2776.8299819964814,6501.307228873504
2740.0,6464.0
2678.5988635380845,6401.467063810265
2635.0,6335.0
2583.514364282271,6227.190251184388
2580.0,6219.0
2556.065628141573,6138.127813525406
2553.0,6107.0
2544.848567255799,6010.974689779371
2544.0,5988.0
2544.941663351739,5808.676726289239
